Código,Descripción,Código_de_Barras,Precio_de_Costo,Inventario
A90700,ABRO. C/BROCHES 24/6 BLISTER,2000200090700            ,1693.03,1
A0801,ABRO. C/BROCHES N10 BLISTER,2000200210801            ,1531.23,1
A1901,ABRO. KATANA N10 MEDIANA,9658480891901            ,5116.68,1
A5078,ABRO. NC PINZA STAPLER X1UNID. N.507,6923980305078,1451.13,1
A0022,ABROCHADORA KARTEC N50/10 PINZA,7793928100022            ,19274.7,1
A0107,ABROCHADORA MAPED 0107 ESSENTIALS N10 PINZA,3154144400107            ,16264.9,1
A2101,ABROCHADORA MAPED 2101 ESSENTIALS N24/9 26/6 PINZA,3154144402101            ,19083.4,1
A3119,ABROCHADORA MAPED 26/6 24/6 OFFICE METAL,3154143543119            ,11224,1
A6112,ABROCHADORA MAPED 6112 ESSENTIALS N10 MEDIANA,3154143526112            ,7523.21,1
A6119,ABROCHADORA MAPED 6119 ESSENTIALS N10 MEDIANA X20UNID,13154143526119           ,147473,1
A2113,ABROCHADORA MAPED GREEN LOGIC N10 POCKET,3154143532113            ,5522.7,1
A2110,ABROCHADORA MAPED GREEN LOGIC N10 POCKET X20UNID.,13154143532110           ,108246,1
A0119,ABROCHADORA MAPED GREEN LOGIC N24/6 26/6,3154143530119            ,3345.43,1
A0116,ABROCHADORA MAPED GREEN LOGIC N24/6 26/6 X20UNID,13154143530116           ,65613.8,1
A3008,ABROCHADORA MAPED VIVO N10 X1UNID.,3154145403008            ,3984.91,1
A3005,ABROCHADORA MAPED VIVO N10 X20UNID.,13154145403005           ,78103.8,1
A2354,ABROCHADORA MIT 24/6-24/8 NEW DESK,7793928102354            ,10105,1
A0503,ABROCHADORA MIT 24/6-24/8 PINZA,7793928100503            ,43757.1,1
A2040,ABROCHADORA MIT BEIF N10,7793928102040            ,5756.64,1
A0244,ABROCHADORA MIT FX50 PINZA,7793928100244            ,35541.7,1
A3340,ABROCHADORA OLAMI ABR 202 N24/6 - 26/6 PINZA,6933296203340            ,8914.07,1
A4551,ABROCHADORA OLAMI ABR203 26/6 - 24/6 ESCRITORIO,6953766304551            ,8495.41,1
A5009,ABROCHADORA OLAMI ABR500 MINI PINZA N10,8034048415009            ,3896.2,1
A5016,ABROCHADORA OLAMI ABR501 MINI PINZA N21/6 - 26/6,8034048415016,5380.87,1
A4904S,ABROCHADORA OLAMI ABR505 MINI N10 XUNID. ABR505,A4904S,1540.33,1
A0171,ABROCHADORA OLAMI HASTA 200HOJAS HEAVY DUTY,6953766300171            ,44435.6,1
A3519,ABROCHADORA OLAMI HEAVY DUT HASTA 200 HOJAS,6936079003519            ,35561.2,1
A00935,ABROCHADORA OLAMI MINI 24/6 26/6 ABR204,6953766300935            ,2041.33,1
A4904,ABROCHADORA OLAMI MINI N10 VASO X24UNID. ABR505,7909439024904,36954.6,1
A0188,ABROCHADORA OLAMI N10/50 MEDIANA,6953766300188            ,4867.18,1
A0226,ABROCHADORA OLAMI N10/50 PINZA ABR103,6933296200226            ,8109.66,1
A4872S,ABROCHADORA OLAMO ABR204 MINI 24/6 ABR204 X1UNID.,A4872S,1773.86,1
A4872,ABROCHADORA OLAMO MINI 24/6 ABR204 X18UNID.,07790884594872,31931.9,1
A2085,ACUARELA 2085 X12 COLORES C/PINCEL EST. ACRILICO,6905740082085            ,629.69,1
A4599,ACUARELA ARTIST PALETTE X12COLORE,2154621334599            ,2788.76,1
A0163,ACUARELA DW 16 COLORES C/PINCEL C/BRILLITO,2011051200163,1531.23,1
A0088,ACUARELA EZCO X12 COLORES,4666664040088            ,1112.23,1
A5197,ACUARELA FILGO X12COLORES C/PINCEL 5197,7795513075197            ,1905.29,1
A5180,ACUARELA FILGO X8COLORES C/PINCEL 5180,7795513075180            ,1327.3,1
A7702,ACUARELA GIOTTO X12COLORES C/PINCEL,8000825967702            ,2036.82,1
A3734,ACUARELA GIOTTO X36COLORES C/PINCEL,8000825353734            ,5542.99,1
A2341,ACUARELA GIOTTO X36COLORES C/PINCEL X2UNID.,8000825012341            ,19481,1
